razotajs,marka,gads,dzinejs,tilpums,nobraukums,cena,apraksts,bilde,saite
Mazda,Mazda Mazda6,2004,Benzīns,1.8,194,995,Auto labā tehniskā un vizuālā stāvoklī. Mašīnā nav smēķēts. Oriģinālais ,https://i.ss.lv/gallery/4/776/193910/38781918.th2.jpg,/msg/lv/transport/cars/mazda/mazda6/hbmnl.html
Gaz,Gaz 24,1979,Benzīns,2.4,6.1,2800,Pārdod Gaz 2401 ''Volga''. 1979.g. Noņemta no uzskaites - parādu nav. Ja,https://i.ss.lv/gallery/4/602/150471/30094133.th2.jpg,/msg/lv/transport/cars/gaz/24/bbgnk.html
Fiat,Fiat Doblo,2011,Dīzelis,1.3,182,3990,"Fiat Dablo Maxi , Latvijā nav ekspluatēta  1.3 dīzeļa dzinējs  Jauda: 66",https://i.ss.lv/gallery/4/755/188640/37727898.th2.jpg,/msg/lv/transport/cars/fiat/doblo/ocjgg.html
Mercedes,Mercedes Vito,2011,Dīzelis,2.2,266,7200,Pārdod MB Vito labā tehniskā stāvoklī.    2011. gads Face lift modelis. ,https://i.ss.lv/gallery/4/777/194040/38807823.th2.jpg,/msg/lv/transport/cars/mercedes/vito/ahmnl.html
Volkswagen,Volkswagen Touran,2009,Dīzelis,1.9,237,4950,VW Touran 2009 год. 1.9 tdi 77 kW. Кожаный салон. Подогрев сидений. Парк,https://i.ss.lv/gallery/4/765/191142/38228266.th2.jpg,/msg/lv/transport/cars/volkswagen/touran/bbmogk.html
Audi,Audi A8,2003,Benzīns,4.2,345,3100,Здравствуйте. К вашему вниманию представлена Ауди А8 д3 2003 года.   Авт,https://i.ss.lv/gallery/4/777/194040/38807849.th2.jpg,/msg/lv/transport/cars/audi/a8/hbmmo.html
Bmw,Bmw 535,2005,Dīzelis,3.0,245,5900,"Pārdodas 535d. Ievests Latvijā 2020.gada Novembrī, no apakšas bez rūsas ",https://i.ss.lv/gallery/4/777/194040/38807833.th2.jpg,/msg/lv/transport/cars/bmw/535/dhpex.html
Bmw,Bmw 525,2005,Dīzelis,2.5,332,3690,"Pārdod BMW 525, ļoti labā tehniskā un vizuālā kārtībā. Daudz extras. Aut",https://i.ss.lv/gallery/4/734/183369/36673762.th2.jpg,/msg/lv/transport/cars/bmw/525/bdxid.html
Hyundai,Hyundai Ioniq,2020,Benzīns,E,1.7,26540,"Hyundai Ioniq electric, 2020, 38, 3kwh, nobr. 1700 km.     -marka: hyund",https://i.ss.lv/gallery/4/777/194035/38806948.th2.jpg,/msg/lv/transport/cars/hyundai/ioniq/cxhcon.html
Subaru,Subaru OUTBACK,2004,Benzīns,2.5,245,2999,Subaru Outback 2.5i - 4Wd - 121Kw/165zs - Iespējama arī maiņa .    - Aut,https://i.ss.lv/gallery/4/777/194039/38807664.th2.jpg,/msg/lv/transport/cars/subaru/outback/bdojmk.html
